61575
100155
100156,62485
100157,67155
100439,77611
100440
100441
100442,74722
100491
100492
108736,19650
108737
108738,18285
108739,19650
114735,17771
114736
114737
114738,17682,17780,17878,17910
114739
114740,17682,17780,17878,17910
114741
114742
114743
114744
114745,17780,17878
116220,17943,19824
116221
116222,17943,19824
116223,17943
116224,17943
116225,17943
116226
116227
116228
116229,17976
116230
116231,17932
116234
116235,17932
116236,17932
116237
116238
116239
116240,17932
116241,17932
117353,75652
117354
117355
117356,74570
117357,74561
117358,74561
117359
117360
117361
124616,74842
124617,74842
125164,79000,79011,79044,79240
125165,79000,79011,79044,79240
125166,79000,79011,79240
125167,79011,79240
125168,79011,79240
125169,79011
125170
125171
125924
125925
126093
126094
126095
126096
126097
126098
126099
126100,30242
126101
126102,30242
126214,30405
126215
126216,35130
126415,29026
126416
126417,27201,28565
126418,27201
126419,27201,28565
126420,28434,29266,29407
126421,29266,29407
126422,28434,29266,29407
126423,29266
126424,28434,29266,29407
126425
126453,64115
126454
126455
126456,67188
126457,67188
126486,28314
126487
126488,29015
126489,26553,26631
126490,26553,26631,27581
126491,26631
126492
126493
126494,26553,26631
126495
126496,26553,26631,27581
126497,26631
126498,26553,26631
126503,16099,28369
126504,16099,28369
126505
126506
126507
126508
126509
126514,19454
126515
126516
126517
126518
126519,64039
126520,62398
126525,26564,27145,27635,29157,29222
126526
126527
126528,26564,27145,27635,29157,29222
126529,26564,27635,29157,29222
126530,26564,27635,29157,29222
126531
126532,27635,29157,29222
126533
126534
126645,26607,27276,27308,27321
126646,26607,27276,27308,27321,27548,27559,27679
126647,27321
126648,27321
126649,26607,27276,27308,27321,27559
126650,27321
126651,27700
126652,27733
126653
126654
126655,26607,27321
126656,26607,27276,27308,27321
126657,26607,27321
126658,26607,27276,27308,27321,27548,27559,27668,27679
126659
126660
126661,26662
126662
126663
126664
126665,26509,26618,27690,29200
126666,29200
126667
126668,26618,27690,29200
126669,29200
126670,26618,29200
126671
126672
126673
126674
126675
126676,27646
126677
126678,26684,27592
126679
126680,27592
126681
126713,19881,27744,28391
126714
126715,19881,27744,28391
126716,28391
126717,27744,28391
126718,19881,27744,28391
126719
126720
126774,57082,57147,57158
126775,57082,57158
126776,57082,57158
126777,57082,57158
126778,57082,57158
126779,57082,57158
126780,57082,57158
126781,57082,57158
126782,57082,57158
126783,57082,57147,57158
126784,57082,57158
126785,57082,57158
126786,57082,57158
126787,57169
126788,57201
126789,57082,57093,57147,57158
126790,57082,57158
126791,57082,57158
126792,57082,57158
126793,57082,57158
126794,57082,57147,57158
126853
126854
127154,78103
127155,76898,79556
127156
127157,78103
127158
127159,78103
127160,78103
127161,78103
127162
127163
127164
127165,78103
127166
127167
127168
127169
127170
127171
127172,76898,79556
127173
127202
127405
127406
127407
127408,62539
127412,62441
127536,62517
127537
127538,62517
127539,63111
127540
127541,74886
127542,73531,74668
127543,73531,74668
127544,73531,74668
127629
127630
127677
127678
127679
127680
127687,77511,78180
127688,78180
127689,77511,78180
127690,77511,78180
127691,77511,78180
127692,74681
127693
127694
127695
127696
127701,62354,62376,67177
127702,62376,67177
127703,62354,62376,67177
127704,78093
127705,76801
127706
127707,76026
127708,75510
127709
127710
127711
127712,72721
127713
127714
127715
127716
127717,73553
127718
127719
127720
127721
127722
127731,74504
127732,75608
127733,75608
127734,72689,75608
127735,75608
127736,76734
127737,76734
127738,76734
127739,77076
127740,74811
127741,74811
127742,74679,74811
127743,74811
127744,74811
127745,74811
127746,74811
127747
127748,72645
127749,79218
127750
127751
127752
127753
127754
127755
127756
127759
127760
127761,76625,78125
127762,75641,76625,78125
127763,76625,78125
127764,75641,76625,78125
127765,76625,78125
127766,76625
127767,76625
127768,75674
127769,79721
127770
127771
127772,75674,79721
127773
127831,57049
127832,50813,57049,57051,58055
127833,50813,57049,57051
127834,57049
127835,58066
127836,50813,57049
127837,57049
127838,50813,57049
127839,57049
127850,32091
127851,35054,35196,35239
127852,35196,35239
127853
127854
127855,35054,35196,35239
127856
127857,35239
127858
127859
127860
127861
127862
127863,79730
127864,79730
128044,73520,75685,76876
128045,73520
128046,73520,73651,75685,76876
128047,73520
128048,73520
128049,73520,73651,75685,76876,76908,79621
128050,73520,73651,75685,76908,79621
128051,73520,73651,75685,76876,76908,79621
128052,73520,76876
128053,73520
128054,73520
128055,73520,75685
128056,73520,75685,76876
128057,73520
128058,73629
128059,73520,76876
128060,73520,73651,75685,76908,79621
128061,73520,76876
128062,73520,73651,75685
128063,73520,73651,75685,76908
128064,73520,76876
128065,73520
128066
128067,76603
128068,76603
128096
128097,77043
128098,77043
128099,77043
128100
128101
128102,69602
128103
128104,69602
128105
128106,69602
128107,69167
128108
128320
128357,74461
128358
128703,19574
128704,19574
128705,19574
128706,19574
128707,19574
128789,17693,17769,22041,27319,29181
128790,17693,17769,27156,27319,29181
128791,17693,17769,22041,27232,27319,29181
128792,17693,17769,27319,29181
128793,17616,17693,17769,22041,27156,27232,27319,29181
128794,17693,29181
128795,17693,17769,29181
128796,17693,17769,29181
128797,17693,17769,22041,29181
128798,17693,17769,29181
128799,17693,17769,27156,27319,29181
128800,27515
128801,17616,17693,17769,27156,27319,29181
128802,17693,17769,22041,27232,27319,29181
128803,17616,17693,17769,22041,27156,27232,27319,29181
128804,17693,29181
128805,17693,29181
128806,17693,17769,29181
128807,17693,17769,29181
128808,17693,29181
128809,17616,17693,17769,27156,27319,29181
128810,17693,29181
128811,17693,17769,27156,27319,29181
128812,17693,27319,29181
128813,17693,29181
128814,17693,17769,29181
129227
129228
129229
129230
129231
129237,69210
129238
129239
129240,68172
129241
129242,68141,69210
129303,63055,65121
129304,63055,65121,65221
129305,63055,65121,65221
129306
129307
129308,63055,65121
129309,63055,65121
129310
129311
129312
129313
129314
129315
129316
129317,72754
129318,72754
129319,64409
129320
129321
129322,72754
129323
129324
129325,69635,76560
129326,69635,76560
129327,69145,69559,69635,69668,76560
129328,69635,76560
129329,69025,69232,69330,69570,69635,69668,76560
129330,69635,76560
129331,69145,69635,69668,76560
129332,69145,69635,69668,76560
129333,69635
129334,69025,69232,69570,69635,69668,76560
129335,69635,69668,76560
129336,69635,76560
129337,69635,76560
129338,69635
129339,69635,69668,76560
129340,69319
129341,68226,69145,69406,69559,69570,69635,69668,76560
129342,69635
129343,69635,76560
129344,69635,76560
129345,69635,76560
129346,69635,76560
129347,69635,76560
129348,69025,69570,69635,69668,76560
129349,69025,69232,69330,69570,69635,69668,76560
129350,69635
129351,69733
129352,69025,69232,69321,69330,69570,69635,69668,76560
129353,69025,69570,69635,69668,76560
129354,68226,69025,69145,69406,69559,69570,69635,69668,76560
129355,69025,69232,69321,69330,69561,69570,69635,69668,76560
129356,69635,69668,76560
129357,69145,69406,69559,69635,69668,76560
130095,30002,30645
130096,30002,30645
130097,30645
130098
130216,76778
130217,78071
130218,76778
130219,75761
130220,76778
130221
130222,76778
130223
130919,63109
130920,63109
130921,63109
130922
130923,63109
130926,79229
130927,68139
130928
130929,68139,79229
130930,79229
130931,68139,69581,79229
130932
130933,68139,69581,79229
130934
130935,68139,69581,79229
130936,68139,79229
130937
130938,79229
132124
132125,74592
132126
132127
132128
133368,16251
133369,16251
133370
133371,16251
133372,16251
133373,16131,16229,16251
133374,17812
133375,16251
133376,16131,16229,16251
133377,17845
133378
133379,16131,16229,16251
133380,16251
133381
133382,16251
133383,16131,16251
133384,16251
133385,16251
133386,16251
133387
133388,16251
133389
133390
133391
